ID,true_data,16000,5000,8000
382,32.92399979,32.04903793,32.65357208,32.63064194
383,33.56900024,32.62167358,33.07997894,33.57122421
384,34.21300125,32.82998276,33.37972641,33.91201782
385,33.72900009,33.07828522,33.6219101,34.21313095
386,34.69499969,33.24219513,33.8600769,34.32279587
387,34.61500168,33.54610062,34.13652039,34.64436722
388,34.61500168,33.68669891,34.50773239,34.9811821
389,34.69499969,34.13703918,35.12089157,35.31343842
390,34.53499985,34.87448502,36.01169205,36.02717972
391,35.17900085,36.33129501,36.35035706,36.54290771
392,35.09799957,36.59198761,33.91080475,36.1855278
393,33.48799896,33.75223541,28.52894783,31.40794563
394,26.88699913,26.7053318,24.92803383,25.86709213
395,24.95499992,24.28697014,24.40925407,24.88914871
396,25.76000023,24.8835144,25.17707062,25.32064056
397,25.43799973,24.42342949,26.06512642,25.953228
398,27.12800026,25.99432945,27.6589222,28.18873215
399,30.59000015,28.48708534,29.69979668,29.98073578
400,30.67000008,29.10839653,29.85042,32.51515961
401,32.36100006,31.07217789,30.38083458,30.56744003
402,32.84400177,31.49599648,30.69661903,30.01288795
403,33.08499908,31.41645241,31.31645393,31.9127388
404,31.39500046,31.44163322,31.78461456,32.08084869
405,31.95800018,31.47690201,32.02965927,32.18133926
406,32.20000076,31.59341431,32.17641068,32.18306351
407,32.36100006,31.5231781,32.26990891,32.25337982
408,32.20000076,31.87077713,32.33210373,32.33216476
409,32.27999878,31.89453316,32.36515045,32.42347336
410,33.32699966,31.96025467,32.37562943,32.47021103
411,33.72900009,32.0030632,32.3527298,32.50431442
412,32.76399994,32.17706299,32.28822708,32.57905579
413,34.37400055,32.3562851,32.14990616,32.632061
414,34.21300125,32.56460953,31.89681435,32.62251663
415,34.37400055,32.66327667,31.45073509,32.49765396
416,34.05099869,32.51472473,30.73661995,32.10944366
417,33.72900009,31.71376991,29.76027489,31.15395927
418,30.51000023,29.96379662,28.82341576,29.56747055
419,30.02599907,28.48346519,28.40287209,28.61971283
420,29.54299927,28.47173882,28.56128883,28.63096809
421,29.62400055,29.07550049,28.91177368,28.75963783
422,28.49699974,29.44914055,29.2496357,29.04034996
423,28.89900017,29.69881248,29.55766678,29.62396622
424,28.81900024,29.95191002,29.83613777,30.03223801
425,28.73900032,30.26825142,30.03635979,30.16151428
426,28.65800095,30.20833015,30.06323814,30.10441971
427,28.57699966,29.93072891,29.86456871,29.84413338
428,28.25499916,29.5722065,29.42275238,29.48724556
429,28.17499924,28.87742996,28.77065086,28.63455963
430,27.28899956,27.7592907,27.96053123,27.71455956
431,26.96800041,26.51264381,27.05116272,26.44776726
432,25.59900093,25.53115082,26.07522392,25.43788719
433,24.79400063,24.61948967,25.03968239,24.55394173
434,24.22999954,23.73060608,23.94581795,23.42018509
435,23.02300072,22.67020607,22.83526421,22.52465439
436,21.81599998,21.43330002,21.87487602,21.28540421
437,20.85000038,20.34644508,21.36237144,20.80865097
438,21.0909996,20.33008385,21.43755913,21.02907944
439,21.97599983,21.60269737,21.80113602,21.60342598
440,22.70100021,21.59305,26.04458809,24.03557205
441,22.70100021,21.89725304,20.88453102,21.34767914
442,22.62100029,21.71864319,21.8653965,23.01996231
443,21.97599983,22.27324867,22.02443123,21.99238777
444,21.73500061,21.55567169,21.21689606,21.10106659
445,21.17099953,20.3583355,20.786623,20.61954498
446,21.73500061,19.7100811,20.66991997,20.70920944
447,22.29899979,19.65077972,20.58258438,20.56430817
448,22.29899979,20.01496696,20.16453743,20.59024811
449,21.5739994,18.93296623,20.09442329,20.45967674
450,20.36599922,19.68773651,19.78543854,20.24063492
451,20.20499992,19.33973694,19.67699623,20.00291824
452,20.36599922,18.8156147,19.31449699,19.67555046
453,19.9640007,18.49513817,19.03196716,19.3279438
454,18.91699982,18.75456429,18.61482811,18.97834015
455,19.31999969,18.38549614,18.29476929,18.63581276
456,18.27400017,18.46137047,17.92271996,18.31432343
457,17.62899971,18.16380882,17.63834,18.02422524
458,18.19300079,18.16667557,17.33557892,17.77323341
459,18.43400002,17.94621849,17.10351753,17.5639801
460,18.6760006,17.95576477,16.87808228,17.40268326
461,18.59499931,17.76286507,16.73509407,17.27547455
462,18.35400009,17.84721375,16.66550064,17.16141891
463,17.62899971,17.70192719,16.74562073,17.10233688
464,19.23999977,17.89243126,16.99667168,17.18753052
465,18.99799919,17.91197205,17.42188835,17.48532486
466,17.95100021,18.27440453,17.96896935,18.0305481
467,19.6420002,18.77301025,18.61211967,18.79216957
