,true_data,pre_data
0,33.3269996643,35.0119552612
1,34.2929992676,35.0156402588
2,33.6489982605,35.0779304504
3,34.6150016785,33.4450378418
4,35.2589988708,33.3605651855
5,36.547000885,33.8257522583
6,36.9500007629,34.2695083618
7,37.8349990845,34.7778511047
8,37.6739997864,34.6642189026
9,34.7760009766,29.2122592926
10,27.2889995575,24.2313632965
11,25.4379997253,22.7543487549
12,25.3579998016,23.1721668243
13,25.5990009308,24.108549118
14,28.0939998627,25.5141544342
15,28.9799995422,26.515832901
16,31.0729999542,28.0222854614
17,30.5900001526,29.3149394989
18,32.0390014648,30.2638149261
19,31.2339992523,30.7324314117
20,31.6359996796,30.811416626
21,32.4410018921,30.8069171906
22,30.9120006561,30.963727951
23,30.3479995728,31.1893100739
24,31.5559997559,31.372631073
25,31.4759998322,31.5131778717
26,32.2000007629,31.6548099518
27,31.5559997559,31.8096313477
28,32.361000061,31.9622173309
29,32.9239997864,32.0717315674
30,33.2459983826,32.0739212036
31,32.763999939,31.8630409241
32,32.1189994812,31.2875404358
33,31.716999054,30.2151966095
34,27.6919994354,28.8122711182
35,25.517999649,27.8000564575
36,25.7600002289,27.5220413208
37,27.0480003357,27.4677238464
38,27.2089996338,27.6267204285
39,27.6919994354,27.9550514221
40,28.5769996643,29.7474994659
41,28.658000946,28.8228054047
42,29.3819999695,28.4255218506
43,29.8649997711,27.4298458099
44,29.8649997711,27.0976219177
45,28.5769996643,25.9139709473
46,28.1749992371,25.7614383698
47,27.3700008392,24.3452510834
48,26.8059997559,23.6558952332
49,25.0349998474,22.737537384
50,24.7129993439,21.7564811707
51,23.5869998932,20.5615406036
52,23.0230007172,19.5068836212
53,21.6539993286,18.8821792603
54,19.5620002747,18.9847755432
55,22.1369991302,19.4740810394
56,21.4930000305,20.1207866669
57,22.7810001373,20.5994262695
58,22.6210002899,20.7922649384
59,22.7810001373,20.9033813477
60,22.4589996338,20.2697963715
61,20.2049999237,19.1041927338
62,20.4470005035,19.9661140442
63,19.8829994202,20.9492149353
64,20.125,18.9541759491
65,19.8829994202,19.6565036774
66,19.6420001984,19.0525074005
67,18.9169998169,19.1033153534
68,19.3199996948,18.5467090607
69,20.125,18.392080307
70,18.6760005951,17.91289711
71,19.3199996948,17.6254234314
72,18.5149993896,17.2035636902
73,17.7910003662,16.9277000427
74,17.2269992828,16.5921516418
75,17.4689998627,16.3761634827
76,17.0659999847,16.1374874115
77,16.6630001068,15.9957542419
78,15.6979999542,15.8632230759
79,15.2950000763,15.8252601624
80,15.5360002518,16.6913604736
81,15.6169996262,16.8500080109
82,16.422000885,17.2009925842
83,17.3880004883,17.5558681488
84,17.6289997101,17.9650535583
85,18.7569999695,18.5731945038
86,20.0450000763,19.4996318817
87,21.3330001831,20.4306716919
88,21.5739994049,21.4291000366
89,22.218000412,22.5885257721
90,25.2770004272,25.1108341217
91,28.3360004425,28.6454277039
92,30.6700000763,31.2225761414
93,31.7980003357,32.7241630554
94,32.361000061,33.4609107971
95,32.84400177,34.0170593262
96,32.6030006409,34.3805236816
97,32.6030006409,34.5634841919
98,32.9239997864,34.6282806396
99,34.0509986877,34.7075805664
100,34.3740005493,35.0103263855
101,33.6489982605,35.4649658203
102,35.1790008545,36.1436653137
103,36.063999176,37.0261077881
104,35.7420005798,36.5034179688
105,33.8100013733,33.8416976929
106,26.5650005341,27.6744041443
107,24.4720001221,24.6859493256
108,24.1499996185,25.1684131622
109,24.875,25.5086135864
110,26.0820007324,26.4580612183
111,28.1749992371,28.4569187164
112,28.9799995422,30.2599811554
113,30.3479995728,31.379983902
114,30.9930000305,31.968454361
115,30.9120006561,32.1748542786
116,31.0729999542,32.0561218262
117,29.8649997711,31.8521938324
118,30.4290008545,31.815448761
119,30.5100002289,31.9364147186
120,31.0729999542,31.6805343628
121,30.5100002289,31.8643856049
122,32.1189994812,32.6741867065
123,31.2339992523,32.9265136719
124,30.9120006561,32.6069946289
125,30.9120006561,32.3433990479
126,32.0390014648,32.1096382141
127,30.267999649,31.8094997406
128,30.0259990692,31.0696029663
129,29.4629993439,29.6238079071
130,26.2430000305,28.1576137543
131,25.5990009308,27.7722034454
132,26.6459999084,27.840139389
133,27.2889995575,28.105052948
134,26.4039993286,28.535451889
135,27.1280002594,29.0133953094
136,28.5769996643,29.4326457977
137,28.4969997406,29.5235061646
138,28.8190002441,29.3931846619
139,28.8990001678,29.1855564117
140,28.9799995422,28.7804889679
141,27.8530006409,27.9685611725
142,27.3700008392,26.6958217621
143,26.5650005341,25.5757274628
144,25.6800003052,24.5757637024
145,24.311000824,23.4237194061
146,23.263999939,22.1571140289
147,23.263999939,21.0110759735
148,21.8159999847,20.5875530243
149,20.4470005035,20.8806209564
150,18.9979991913,21.2348136902
151,20.6879997253,21.537027359
152,20.6879997253,21.6425418854
153,21.0100002289,21.6182918549
154,20.9300003052,21.2922782898
155,19.8829994202,22.301404953
156,20.0450000763,22.1155567169
157,19.1590003967,20.7695674896
158,19.3999996185,20.7984161377
159,18.5149993896,20.9348773956
160,19.4810009003,21.1582546234
161,18.9169998169,20.9343738556
162,19.1590003967,20.8737792969
163,18.8369998932,20.3452854156
164,18.3540000916,20.2682609558
165,17.8710002899,19.9188690186
166,18.2740001678,19.7218227386
167,18.8369998932,19.2601604462
168,17.3880004883,18.9933700562
169,16.7439994812,18.5472507477
170,17.0659999847,18.2763690948
171,16.986000061,17.895275116
172,16.6630001068,17.6997737885
173,16.1809997559,17.4324111938
174,16.8239994049,17.3383789062
175,16.3409996033,17.2199573517
176,17.2269992828,17.2691402435
177,16.6630001068,17.3655529022
178,17.7099990845,17.645149231
179,17.5489997864,18.0575428009
180,18.7569999695,18.6652126312
181,19.2399997711,19.3815135956
182,20.0450000763,20.1898002625
183,20.125,21.0194206238
184,20.2859992981,21.9513931274
185,20.6079998016,23.5612735748
186,23.5869998932,26.5791187286
187,26.6459999084,30.1268463135
188,27.2889995575,32.3340568542
189,28.658000946,33.4865188599
190,29.1410007477,34.0327224731
191,29.7049999237,34.4618759155
192,30.107000351,34.6796722412
193,30.5900001526,34.7804908752
194,30.4290008545,34.8686904907
195,31.313999176,34.9814796448
196,32.2000007629,35.3143310547
197,31.7980003357,35.5051651001
198,33.4879989624,35.9115829468
199,33.3269996643,37.08568573
200,33.1660003662,32.7323799133
201,31.5559997559,32.9734954834
202,25.2770004272,26.4088344574
203,22.5400009155,25.3385982513
204,22.6210002899,25.5832862854
205,23.4249992371,27.3682823181
206,23.0230007172,28.7574920654
207,25.1959991455,30.2171134949
208,26.4039993286,31.7033290863
209,28.1749992371,32.2780685425
210,28.658000946,32.5093727112
211,28.2549991608,32.4670410156
212,29.1410007477,32.2902908325
213,28.4169998169,32.2338981628
214,28.5769996643,32.3923301697
215,28.013999939,32.6208152771
216,28.4169998169,32.7546920776
217,27.8530006409,32.7668838501
218,28.658000946,32.7578811646
219,28.9799995422,32.7735481262
220,29.7849998474,32.8014411926
221,29.3819999695,32.8139877319
222,29.2220001221,32.7994384766
223,29.0599994659,32.6793785095
224,29.3020000458,32.2441368103
225,28.4969997406,31.0849342346
226,26.0009994507,29.1804561615
227,24.7940006256,28.1601963043
228,25.5990009308,28.3194561005
229,24.3920001984,28.7308616638
230,23.7469997406,29.1368732452
231,24.311000824,29.523859024
232,25.0349998474,29.8653240204
233,25.2770004272,29.8613491058
234,26.3229999542,29.5389347076
235,26.0009994507,29.0629005432
236,26.4039993286,28.3861598969
237,25.3579998016,27.387506485
238,24.7129993439,26.245716095
239,23.827999115,25.3118934631
240,22.8619995117,25.0945148468
241,21.8159999847,23.4162559509
242,21.2520008087,22.1804237366
243,20.6079998016,21.1678924561
244,19.8829994202,20.3683795929
245,18.8369998932,20.4324207306
246,17.7910003662,20.5386791229
247,18.2740001678,20.6370220184
248,19.6420001984,20.7851905823
249,19.5620002747,20.7348003387
250,19.1590003967,20.0679512024
251,19.3999996185,19.7608394623
252,18.4340000153,19.6844463348
253,18.4340000153,18.485868454
254,18.5149993896,19.296710968
255,18.2740001678,18.8903141022
256,17.3880004883,18.237953186
257,17.1459999084,18.290058136
258,16.7439994812,17.9257068634
259,16.6630001068,17.802438736
260,17.0659999847,17.3820934296
261,17.3069992065,17.0894870758
262,18.1119995117,16.5196666718
263,17.4689998627,16.1159305573
264,17.0659999847,15.4522762299
265,16.1809997559,15.2126340866
266,16.422000885,14.7232170105
267,14.8120002747,14.7136602402
268,15.4560003281,14.4931201935
269,14.9729995728,14.5801830292
270,15.4560003281,14.5654087067
271,15.1339998245,14.7644109726
272,15.6169996262,14.9288225174
273,15.7779998779,15.3369750977
274,15.6979999542,15.6823663712
275,17.4689998627,16.4335727692
276,18.3540000916,16.9564781189
277,20.2049999237,18.1272315979
278,20.6079998016,18.599855423
279,20.3659992218,19.7170314789
280,20.6879997253,22.3424396515
281,21.3330001831,22.9356861115
282,25.4379997253,24.9639835358
283,29.1410007477,28.2187042236
284,29.7849998474,30.5015640259
285,31.8780002594,31.7536525726
286,33.1660003662,32.3491249084
287,32.84400177,32.9078788757
288,32.9239997864,33.3886184692
289,34.7760009766,33.8653335571
290,34.5349998474,34.1182289124
291,36.1450004578,34.3403625488
292,36.3860015869,34.758480072
293,37.0299987793,35.3238983154
294,37.2709999084,36.2198944092
295,38.1570014954,37.1467132568
296,39.4449996948,36.9308319092
297,36.6269989014,34.3848190308
298,29.7849998474,27.4735469818
299,26.7259998322,24.7329025269
300,26.7259998322,25.2574558258
301,28.3360004425,25.2792549133
302,28.5769996643,26.1574573517
303,31.6359996796,28.3462715149
304,32.2000007629,30.2955245972
305,32.763999939,31.3562965393
306,34.9370002747,31.9643039703
307,34.4539985657,32.0348052979
308,34.0509986877,31.8854637146
309,34.0509986877,31.7297992706
310,34.0509986877,31.7069511414
311,33.6489982605,31.763338089
312,33.9710006714,31.8331241608
313,34.0509986877,31.8907299042
314,34.3740005493,31.9694805145
315,35.4199981689,32.0807037354
316,34.9370002747,32.232925415
317,35.016998291,32.4134292603
318,35.5,32.5709075928
319,34.6150016785,32.5120658875
320,34.5349998474,31.2961349487
321,33.408000946,30.3324356079
322,31.4759998322,30.1439418793
323,30.8309993744,29.4648036957
324,30.5100002289,28.237657547
325,30.9120006561,28.5923557281
326,30.4290008545,29.0182437897
327,28.9799995422,29.3095569611
328,30.3479995728,29.6162452698
329,29.0599994659,29.7804355621
330,29.9459991455,29.7738208771
331,29.7049999237,29.6498851776
332,29.7849998474,29.4000930786
333,28.7390003204,28.8816280365
334,27.611000061,27.923204422
335,27.611000061,26.6514873505
336,26.0009994507,25.6052684784
337,25.3579998016,24.6248283386
338,24.9549999237,23.5640163422
339,23.5060005188,22.4058837891
340,21.4130001068,21.3106784821
341,21.2520008087,20.7783908844
342,20.125,21.1682300568
343,21.4130001068,21.8147106171
344,20.7689990997,22.3180599213
345,23.0230007172,22.5115299225
346,22.3789997101,22.3733596802
347,21.6539993286,22.5387325287
348,21.2520008087,21.5439357758
349,21.4930000305,20.8336544037
350,21.7350006104,21.1906547546
351,21.4130001068,21.4245967865
352,20.6879997253,20.8447170258
353,20.4470005035,20.7760276794
354,20.6879997253,20.3048915863
355,20.2049999237,20.2615413666
356,20.4470005035,19.7795963287
357,19.3199996948,19.7471904755
358,19.8829994202,19.2429447174
359,18.9979991913,19.0357475281
360,19.079000473,17.119934082
361,19.079000473,16.9467334747
362,19.079000473,16.9438858032
363,18.031999588,16.8787975311
364,18.2740001678,16.5189170837
