,true_data,pre_data
0,33.3269996643,28.6585044861
1,34.2929992676,34.6845550537
2,33.6489982605,35.5914916992
3,34.6150016785,35.9370803833
4,35.2589988708,35.7316131592
5,36.547000885,36.4003982544
6,36.9500007629,36.684551239
7,37.8349990845,35.8400382996
8,37.6739997864,32.4824295044
9,34.7760009766,27.504858017
10,27.2889995575,24.3617076874
11,25.4379997253,24.4753608704
12,25.3579998016,25.484369278
13,25.5990009308,27.1470966339
14,28.0939998627,29.2832355499
15,28.9799995422,31.085849762
16,31.0729999542,31.7810592651
17,30.5900001526,31.9503040314
18,32.0390014648,32.0137023926
19,31.2339992523,32.0626411438
20,31.6359996796,32.106967926
21,32.4410018921,32.145690918
22,30.9120006561,32.1844596863
23,30.3479995728,32.2179374695
24,31.5559997559,32.2508659363
25,31.4759998322,32.277507782
26,32.2000007629,32.3016738892
27,31.5559997559,32.316242218
28,32.361000061,32.3219566345
29,32.9239997864,32.3055343628
30,33.2459983826,32.2542419434
31,32.763999939,32.1254348755
32,32.1189994812,31.8454113007
33,31.716999054,31.2650127411
34,27.6919994354,30.2319450378
35,25.517999649,28.9078464508
36,25.7600002289,28.0815258026
37,27.0480003357,28.1554203033
38,27.2089996338,28.5561199188
39,27.6919994354,28.8976268768
40,28.5769996643,28.4092960358
41,28.658000946,28.6746196747
42,29.3819999695,28.3823070526
43,29.8649997711,29.1316757202
44,29.8649997711,29.327205658
45,28.5769996643,29.0056171417
46,28.1749992371,27.9765834808
47,27.3700008392,26.8986663818
48,26.8059997559,25.8703289032
49,25.0349998474,24.9172782898
50,24.7129993439,23.993062973
51,23.5869998932,23.0778141022
52,23.0230007172,22.2141933441
53,21.6539993286,21.5937862396
54,19.5620002747,21.4846553802
55,22.1369991302,21.7635746002
56,21.4930000305,22.0139636993
57,22.7810001373,22.1135540009
58,22.6210002899,22.6295471191
59,22.7810001373,21.5310459137
60,22.4589996338,21.3969554901
61,20.2049999237,20.3572368622
62,20.4470005035,20.991104126
63,19.8829994202,21.0431976318
64,20.125,20.8397350311
65,19.8829994202,20.6649742126
66,19.6420001984,20.3881511688
67,18.9169998169,20.1216259003
68,19.3199996948,19.8260822296
69,20.125,19.5349273682
70,18.6760005951,19.2065391541
71,19.3199996948,18.8784790039
72,18.5149993896,18.5424747467
73,17.7910003662,18.2175331116
74,17.2269992828,17.8940010071
75,17.4689998627,17.5959587097
76,17.0659999847,17.3333244324
77,16.6630001068,17.1355304718
78,15.6979999542,17.0152683258
79,15.2950000763,16.9818611145
80,15.5360002518,23.4336223602
81,15.6169996262,17.8411521912
82,16.422000885,17.7605571747
83,17.3880004883,18.202747345
84,17.6289997101,18.1617679596
85,18.7569999695,18.9826030731
86,20.0450000763,19.4088134766
87,21.3330001831,20.529958725
88,21.5739994049,21.5826969147
89,22.218000412,23.4241580963
90,25.2770004272,25.6196212769
91,28.3360004425,28.2066917419
92,30.6700000763,30.2096061707
93,31.7980003357,31.5064353943
94,32.361000061,32.2517356873
95,32.84400177,32.7011871338
96,32.6030006409,32.9682044983
97,32.6030006409,33.1946372986
98,32.9239997864,33.4201202393
99,34.0509986877,33.6654586792
100,34.3740005493,33.9733505249
101,33.6489982605,34.4474067688
102,35.1790008545,35.1352386475
103,36.063999176,35.6760978699
104,35.7420005798,35.0161972046
105,33.8100013733,31.477230072
106,26.5650005341,27.5040664673
107,24.4720001221,25.4345970154
108,24.1499996185,25.2099208832
109,24.875,25.8045711517
110,26.0820007324,26.6969966888
111,28.1749992371,28.7739429474
112,28.9799995422,30.3896007538
113,30.3479995728,31.1223163605
114,30.9930000305,31.3501987457
115,30.9120006561,31.455499649
116,31.0729999542,31.5202293396
117,29.8649997711,31.5702495575
118,30.4290008545,31.6144618988
119,30.5100002289,31.6500911713
120,31.0729999542,29.4039554596
121,30.5100002289,30.0547351837
122,32.1189994812,30.8238372803
123,31.2339992523,31.6099720001
124,30.9120006561,31.1757335663
125,30.9120006561,31.2047481537
126,32.0390014648,31.0489406586
127,30.267999649,30.7977352142
128,30.0259990692,30.3125476837
129,29.4629993439,29.4931621552
130,26.2430000305,28.3694210052
131,25.5990009308,27.3470211029
132,26.6459999084,26.9193706512
133,27.2889995575,27.02942276
134,26.4039993286,27.3392696381
135,27.1280002594,27.6601467133
136,28.5769996643,27.9337368011
137,28.4969997406,28.1204662323
138,28.8190002441,28.1358623505
139,28.8990001678,27.90873909
140,28.9799995422,27.4144001007
141,27.8530006409,26.7191371918
142,27.3700008392,25.9218273163
143,26.5650005341,25.0982379913
144,25.6800003052,24.277967453
145,24.311000824,23.4542598724
146,23.263999939,22.6113185883
147,23.263999939,21.7500171661
148,21.8159999847,21.0254840851
149,20.4470005035,20.7175102234
150,18.9979991913,20.6519298553
151,20.6879997253,20.5870952606
152,20.6879997253,20.5567474365
153,21.0100002289,20.5443973541
154,20.9300003052,21.1119098663
155,19.8829994202,20.8454437256
156,20.0450000763,20.8733997345
157,19.1590003967,20.0914497375
158,19.3999996185,20.4764213562
159,18.5149993896,20.5057296753
160,19.4810009003,18.1905155182
161,18.9169998169,21.0483398438
162,19.1590003967,20.8741130829
163,18.8369998932,20.0558509827
164,18.3540000916,20.2384223938
165,17.8710002899,19.7657680511
166,18.2740001678,19.6034030914
167,18.8369998932,19.1450519562
168,17.3880004883,18.8674602509
169,16.7439994812,18.419500351
170,17.0659999847,18.1285228729
171,16.986000061,17.7763214111
172,16.6630001068,17.5435352325
173,16.1809997559,17.3101921082
174,16.8239994049,17.1994380951
175,16.3409996033,17.1417179108
176,17.2269992828,17.2156181335
177,16.6630001068,17.3624706268
178,17.7099990845,17.6263751984
179,17.5489997864,17.9787063599
180,18.7569999695,18.4590415955
181,19.2399997711,19.0655574799
182,20.0450000763,19.8447265625
183,20.125,20.8474197388
184,20.2859992981,22.1771678925
185,20.6079998016,23.9806652069
186,23.5869998932,26.3273220062
187,26.6459999084,28.7872753143
188,27.2889995575,30.5879249573
189,28.658000946,31.634344101
