,true_data,pre_data
0,33.3269996643,28.4964790344
1,34.2929992676,31.8881130219
2,33.6489982605,33.809753418
3,34.6150016785,35.1106681824
4,35.2589988708,35.7766189575
5,36.547000885,36.0303039551
6,36.9500007629,36.7737922668
7,37.8349990845,36.8361053467
8,37.6739997864,36.0483627319
9,34.7760009766,31.9458026886
10,27.2889995575,25.5996246338
11,25.4379997253,24.920545578
12,25.3579998016,24.7286167145
13,25.5990009308,25.4686126709
14,28.0939998627,26.9980621338
15,28.9799995422,29.2816543579
16,31.0729999542,30.8394508362
17,30.5900001526,31.6290683746
18,32.0390014648,31.9651432037
19,31.2339992523,32.0337715149
20,31.6359996796,31.9953556061
21,32.4410018921,31.9669094086
22,30.9120006561,31.9913578033
23,30.3479995728,32.0677452087
24,31.5559997559,32.1898612976
25,31.4759998322,32.3345718384
26,32.2000007629,32.4870491028
27,31.5559997559,32.629901886
28,32.361000061,32.754737854
29,32.9239997864,32.844871521
30,33.2459983826,32.8880462646
31,32.763999939,32.8578720093
32,32.1189994812,32.6980018616
33,31.716999054,32.241355896
34,27.6919994354,31.1166954041
35,25.517999649,29.2258796692
36,25.7600002289,28.0245914459
37,27.0480003357,28.0188579559
38,27.2089996338,28.4326267242
39,27.6919994354,28.932882309
40,28.5769996643,28.1696300507
41,28.658000946,27.2098693848
42,29.3819999695,28.1037139893
43,29.8649997711,27.843755722
44,29.8649997711,27.5625896454
45,28.5769996643,27.5911235809
46,28.1749992371,27.4798908234
47,27.3700008392,27.1166591644
48,26.8059997559,26.2646331787
49,25.0349998474,24.7809505463
50,24.7129993439,23.2809886932
51,23.5869998932,22.3786869049
52,23.0230007172,21.8988075256
53,21.6539993286,21.7705745697
54,19.5620002747,21.9390201569
55,22.1369991302,21.9942684174
56,21.4930000305,22.0546360016
57,22.7810001373,22.1070613861
58,22.6210002899,22.3903484344
59,22.7810001373,22.4118118286
60,22.4589996338,22.1175174713
61,20.2049999237,21.7530994415
62,20.4470005035,21.6304969788
63,19.8829994202,21.4901790619
64,20.125,21.355714798
65,19.8829994202,21.2078800201
66,19.6420001984,21.0387096405
67,18.9169998169,20.8135547638
68,19.3199996948,20.5179538727
69,20.125,20.1848163605
70,18.6760005951,19.8188457489
71,19.3199996948,19.430059433
72,18.5149993896,19.0790786743
73,17.7910003662,18.7989120483
74,17.2269992828,18.5619068146
75,17.4689998627,18.3350448608
76,17.0659999847,18.1044979095
77,16.6630001068,17.8748130798
78,15.6979999542,17.6559333801
79,15.2950000763,17.469833374
80,15.5360002518,21.7554149628
81,15.6169996262,18.1703739166
82,16.422000885,17.6110591888
83,17.3880004883,17.9364337921
84,17.6289997101,18.276348114
85,18.7569999695,18.915594101
86,20.0450000763,19.6216869354
87,21.3330001831,20.4667568207
88,21.5739994049,21.5525379181
89,22.218000412,22.5852413177
90,25.2770004272,24.4848003387
91,28.3360004425,27.556552887
92,30.6700000763,29.6257629395
93,31.7980003357,31.5391979218
94,32.361000061,32.338394165
95,32.84400177,33.046005249
96,32.6030006409,33.1434402466
97,32.6030006409,33.3651580811
98,32.9239997864,33.5956344604
99,34.0509986877,33.8922958374
100,34.3740005493,34.183380127
101,33.6489982605,34.4635467529
102,35.1790008545,35.0461196899
103,36.063999176,36.1948852539
104,35.7420005798,35.9489746094
105,33.8100013733,34.4483337402
106,26.5650005341,29.8443851471
107,24.4720001221,25.4603939056
108,24.1499996185,24.7052021027
109,24.875,24.8845825195
110,26.0820007324,25.999420166
111,28.1749992371,27.8578052521
112,28.9799995422,30.0174121857
113,30.3479995728,31.4909515381
114,30.9930000305,32.1386947632
115,30.9120006561,32.3382568359
116,31.0729999542,32.3449630737
117,29.8649997711,32.3494873047
118,30.4290008545,32.3995857239
119,30.5100002289,32.4796257019
120,31.0729999542,29.5684566498
121,30.5100002289,29.6098918915
122,32.1189994812,29.5136394501
123,31.2339992523,30.4436702728
124,30.9120006561,30.5221347809
125,30.9120006561,30.8021221161
126,32.0390014648,30.8274173737
127,30.267999649,30.9689235687
128,30.0259990692,30.9581260681
129,29.4629993439,30.7150230408
130,26.2430000305,30.0090198517
131,25.5990009308,28.922498703
132,26.6459999084,28.1931056976
133,27.2889995575,28.1908569336
134,26.4039993286,28.3667259216
135,27.1280002594,28.5275211334
136,28.5769996643,28.6692943573
137,28.4969997406,28.7895679474
138,28.8190002441,28.8593826294
139,28.8990001678,28.8514595032
140,28.9799995422,28.7209148407
141,27.8530006409,28.4168071747
142,27.3700008392,27.8605365753
143,26.5650005341,26.982925415
144,25.6800003052,25.7748470306
145,24.311000824,24.547914505
146,23.263999939,23.7139415741
147,23.263999939,22.8099155426
148,21.8159999847,21.6949081421
149,20.4470005035,21.1960983276
150,18.9979991913,21.2591571808
151,20.6879997253,21.4418888092
152,20.6879997253,21.5229911804
