,true_data,pre_data
0,33.3269996643,30.7931442261
1,34.2929992676,33.6830329895
2,33.6489982605,34.8038139343
3,34.6150016785,34.5563392639
4,35.2589988708,35.0518379211
5,36.547000885,34.918384552
6,36.9500007629,35.2130012512
7,37.8349990845,35.7508049011
8,37.6739997864,36.2087059021
9,34.7760009766,33.9831123352
10,27.2889995575,29.0286521912
11,25.4379997253,25.0342216492
12,25.3579998016,24.3432579041
13,25.5990009308,24.9931640625
14,28.0939998627,26.6414279938
15,28.9799995422,28.761095047
16,31.0729999542,30.6913414001
17,30.5900001526,31.6160335541
18,32.0390014648,31.8560943604
19,31.2339992523,31.9048957825
20,31.6359996796,31.9062385559
21,32.4410018921,31.9146232605
22,30.9120006561,31.9229240417
23,30.3479995728,31.9367256165
24,31.5559997559,31.9688491821
25,31.4759998322,32.0089416504
26,32.2000007629,32.0767364502
27,31.5559997559,32.1519622803
28,32.361000061,32.2433586121
29,32.9239997864,32.3063697815
30,33.2459983826,32.2926254272
31,32.763999939,32.0746803284
32,32.1189994812,31.5248832703
33,31.716999054,30.590877533
34,27.6919994354,29.4678096771
35,25.517999649,28.5425491333
36,25.7600002289,28.0574302673
37,27.0480003357,28.0144920349
38,27.2089996338,28.4146900177
39,27.6919994354,29.0304374695
40,28.5769996643,26.9366264343
41,28.658000946,28.7770805359
42,29.3819999695,28.3504505157
43,29.8649997711,29.1251602173
44,29.8649997711,28.9953174591
45,28.5769996643,28.756275177
46,28.1749992371,28.2352790833
47,27.3700008392,27.4731826782
48,26.8059997559,26.5238494873
49,25.0349998474,25.4356231689
50,24.7129993439,24.2618865967
51,23.5869998932,23.0163116455
52,23.0230007172,21.8721446991
53,21.6539993286,21.0960998535
54,19.5620002747,20.8425388336
55,22.1369991302,21.0338802338
56,21.4930000305,21.4101772308
57,22.7810001373,21.7553024292
58,22.6210002899,22.8406333923
59,22.7810001373,22.400062561
60,22.4589996338,22.2838802338
61,20.2049999237,21.5259284973
62,20.4470005035,21.5053100586
63,19.8829994202,21.2599945068
64,20.125,21.1412067413
65,19.8829994202,20.9713630676
66,19.6420001984,20.8296699524
67,18.9169998169,20.6238250732
68,19.3199996948,20.3551177979
69,20.125,20.0245456696
70,18.6760005951,19.6641159058
71,19.3199996948,19.2949447632
72,18.5149993896,18.9343032837
73,17.7910003662,18.5893115997
74,17.2269992828,18.2692680359
75,17.4689998627,17.979516983
76,17.0659999847,17.7298927307
77,16.6630001068,17.5253334045
78,15.6979999542,17.3719024658
79,15.2950000763,17.2744750977
80,15.5360002518,19.7628231049
81,15.6169996262,16.9042644501
82,16.422000885,17.0642528534
83,17.3880004883,17.265789032
84,17.6289997101,18.0993595123
85,18.7569999695,18.8929080963
86,20.0450000763,20.0661277771
87,21.3330001831,21.2777252197
88,21.5739994049,22.937582016
89,22.218000412,25.0007591248
90,25.2770004272,27.9037399292
91,28.3360004425,30.3495121002
92,30.6700000763,31.6465377808
93,31.7980003357,32.5050086975
94,32.361000061,33.1284446716
95,32.84400177,33.3205299377
96,32.6030006409,33.5103874207
97,32.6030006409,33.7986450195
98,32.9239997864,34.1207923889
99,34.0509986877,34.5185203552
100,34.3740005493,35.0889625549
101,33.6489982605,35.8112831116
102,35.1790008545,36.4097290039
103,36.063999176,36.1534729004
104,35.7420005798,34.4787712097
105,33.8100013733,29.3605442047
106,26.5650005341,25.359210968
107,24.4720001221,24.6365070343
108,24.1499996185,25.3265686035
109,24.875,26.8043708801
110,26.0820007324,28.8330192566
111,28.1749992371,30.6528930664
112,28.9799995422,31.5432777405
113,30.3479995728,31.8670463562
114,30.9930000305,31.9457588196
115,30.9120006561,32.0342674255
116,31.0729999542,32.0844192505
117,29.8649997711,32.1096305847
118,30.4290008545,32.1059875488
119,30.5100002289,32.0827598572
120,31.0729999542,29.9539890289
121,30.5100002289,32.3108940125
122,32.1189994812,30.886516571
123,31.2339992523,31.4241333008
124,30.9120006561,31.544172287
125,30.9120006561,31.76770401
126,32.0390014648,31.6669464111
127,30.267999649,31.3709850311
128,30.0259990692,30.7104377747
129,29.4629993439,29.8135070801
130,26.2430000305,28.8362216949
131,25.5990009308,28.1114349365
132,26.6459999084,27.7645721436
133,27.2889995575,27.7880973816
134,26.4039993286,28.141960144
135,27.1280002594,28.625328064
136,28.5769996643,28.8719825745
137,28.4969997406,28.8427848816
138,28.8190002441,28.6899414062
139,28.8990001678,28.3926391602
140,28.9799995422,27.9255828857
141,27.8530006409,27.2873191833
142,27.3700008392,26.4932594299
143,26.5650005341,25.5850296021
144,25.6800003052,24.5895996094
145,24.311000824,23.5110473633
146,23.263999939,22.4250164032
147,23.263999939,21.5022087097
148,21.8159999847,20.8928260803
149,20.4470005035,20.6325588226
150,18.9979991913,20.6412525177
151,20.6879997253,20.7935028076
152,20.6879997253,20.9732341766
153,21.0100002289,21.1126556396
154,20.9300003052,21.2647037506
155,19.8829994202,20.9586868286
156,20.0450000763,21.9484443665
157,19.1590003967,21.0192565918
158,19.3999996185,21.1037864685
159,18.5149993896,20.8821334839
160,19.4810009003,19.6978797913
161,18.9169998169,20.7844047546
162,19.1590003967,20.1827030182
163,18.8369998932,20.2094612122
164,18.3540000916,20.1221752167
165,17.8710002899,19.8599586487
166,18.2740001678,19.5817089081
167,18.8369998932,19.2424888611
168,17.3880004883,18.886882782
169,16.7439994812,18.520149231
170,17.0659999847,18.1683731079
171,16.986000061,17.8427391052
172,16.6630001068,17.5616798401
173,16.1809997559,17.3313713074
174,16.8239994049,17.1589450836
175,16.3409996033,17.0530872345
176,17.2269992828,17.0262374878
177,16.6630001068,17.1002311707
178,17.7099990845,17.3115386963
179,17.5489997864,17.6943950653
180,18.7569999695,18.2870750427
181,19.2399997711,19.1089477539
182,20.0450000763,20.19165802
183,20.125,21.5606231689
184,20.2859992981,23.3205718994
185,20.6079998016,25.711769104
186,23.5869998932,28.722951889
187,26.6459999084,30.771938324
188,27.2889995575,31.8411903381
189,28.658000946,32.6140365601
190,29.1410007477,32.9943962097
191,29.7049999237,33.0853538513
192,30.107000351,33.3292732239
193,30.5900001526,33.6313514709
194,30.4290008545,33.9325675964
195,31.313999176,34.3228569031
196,32.2000007629,34.8898963928
197,31.7980003357,35.5958709717
198,33.4879989624,36.20860672
199,33.3269996643,36.1077384949
200,33.1660003662,31.5545482635
201,31.5559997559,32.2300262451
202,25.2770004272,27.8911437988
203,22.5400009155,26.5346107483
204,22.6210002899,25.6097774506
205,23.4249992371,26.3575191498
206,23.0230007172,27.9218711853
207,25.1959991455,29.9152526855
208,26.4039993286,31.0799980164
209,28.1749992371,31.6572265625
210,28.658000946,31.8699073792
211,28.2549991608,31.9786376953
212,29.1410007477,32.0704689026
213,28.4169998169,32.1278572083
214,28.5769996643,32.1786766052
215,28.013999939,32.1996192932
216,28.4169998169,32.219379425
217,27.8530006409,32.2286567688
218,28.658000946,32.2442321777
219,28.9799995422,32.2543983459
220,29.7849998474,32.2504425049
221,29.3819999695,32.1942939758
222,29.2220001221,32.0256080627
