,true_data,pre_data
0,33.3269996643,33.5331916809
1,34.2929992676,33.2238922119
2,33.6489982605,33.3059654236
3,34.6150016785,33.379032135
4,35.2589988708,33.9294967651
5,36.547000885,34.2398757935
6,36.9500007629,34.1993141174
7,37.8349990845,34.4362792969
8,37.6739997864,34.9483413696
9,34.7760009766,33.7478179932
10,27.2889995575,25.6948032379
11,25.4379997253,23.0283489227
12,25.3579998016,23.5865497589
13,25.5990009308,23.6139564514
14,28.0939998627,24.2535972595
15,28.9799995422,25.5210857391
16,31.0729999542,27.2883338928
17,30.5900001526,29.9486045837
18,32.0390014648,30.9002246857
19,31.2339992523,31.3118724823
20,31.6359996796,31.320476532
21,32.4410018921,30.6536922455
22,30.9120006561,30.2311992645
23,30.3479995728,30.6548709869
24,31.5559997559,31.1982479095
25,31.4759998322,31.4162712097
26,32.2000007629,31.2745342255
27,31.5559997559,31.086856842
28,32.361000061,30.987411499
29,32.9239997864,30.9464530945
30,33.2459983826,30.9119529724
31,32.763999939,30.8145904541
32,32.1189994812,30.5019512177
33,31.716999054,29.6957168579
34,27.6919994354,28.2917003632
35,25.517999649,27.1344985962
36,25.7600002289,26.923084259
37,27.0480003357,26.769613266
38,27.2089996338,27.0600528717
39,27.6919994354,27.770116806
40,28.5769996643,27.3820171356
41,28.658000946,28.8150882721
42,29.3819999695,28.5309238434
43,29.8649997711,28.5398139954
44,29.8649997711,27.4317760468
45,28.5769996643,27.7309455872
46,28.1749992371,26.0872344971
47,27.3700008392,25.6663608551
48,26.8059997559,24.4005146027
49,25.0349998474,23.483537674
50,24.7129993439,22.4266986847
51,23.5869998932,21.243478775
52,23.0230007172,20.0283756256
53,21.6539993286,19.1344585419
54,19.5620002747,18.8040904999
55,22.1369991302,19.0889415741
56,21.4930000305,19.9007644653
57,22.7810001373,20.2245960236
58,22.6210002899,21.2137126923
59,22.7810001373,20.9157886505
60,22.4589996338,20.5188827515
61,20.2049999237,19.0694503784
62,20.4470005035,20.3894081116
63,19.8829994202,20.5531749725
64,20.125,18.8405017853
65,19.8829994202,19.4674854279
66,19.6420001984,19.8817462921
67,18.9169998169,19.5754413605
68,19.3199996948,19.5079860687
69,20.125,19.7668685913
70,18.6760005951,19.8453350067
71,19.3199996948,19.5519428253
72,18.5149993896,19.1481990814
73,17.7910003662,18.2351303101
74,17.2269992828,17.4251079559
75,17.4689998627,16.728345871
76,17.0659999847,16.376953125
77,16.6630001068,16.2473468781
78,15.6979999542,16.1195030212
79,15.2950000763,16.2265453339
80,15.5360002518,15.6442947388
81,15.6169996262,15.6346940994
82,16.422000885,16.2070159912
83,17.3880004883,16.6960220337
84,17.6289997101,17.3454856873
85,18.7569999695,18.5213813782
86,20.0450000763,18.890335083
87,21.3330001831,20.0587291718
88,21.5739994049,21.145318985
89,22.218000412,22.8899097443
90,25.2770004272,25.9568958282
91,28.3360004425,29.6138706207
92,30.6700000763,31.324552536
93,31.7980003357,32.2642631531
94,32.361000061,33.584438324
95,32.84400177,34.236946106
96,32.6030006409,34.2411804199
97,32.6030006409,33.7046127319
98,32.9239997864,34.6956863403
99,34.0509986877,34.1865921021
100,34.3740005493,34.537109375
101,33.6489982605,34.9038696289
102,35.1790008545,35.3574409485
103,36.063999176,36.1192855835
104,35.7420005798,36.6284408569
105,33.8100013733,34.0601043701
106,26.5650005341,28.3039493561
107,24.4720001221,25.5854110718
108,24.1499996185,25.6873149872
109,24.875,25.8273620605
110,26.0820007324,26.3601856232
111,28.1749992371,28.9680347443
112,28.9799995422,30.0763092041
113,30.3479995728,31.3901195526
114,30.9930000305,32.3732185364
115,30.9120006561,32.391292572
116,31.0729999542,31.879699707
117,29.8649997711,31.8651332855
118,30.4290008545,31.9829082489
119,30.5100002289,32.2308349609
120,31.0729999542,31.4961299896
121,30.5100002289,32.4227981567
122,32.1189994812,32.2213249207
123,31.2339992523,31.769449234
124,30.9120006561,32.0040435791
125,30.9120006561,32.1427879333
126,32.0390014648,32.3651275635
127,30.267999649,32.3224334717
128,30.0259990692,31.8566303253
129,29.4629993439,30.1762275696
130,26.2430000305,28.2416973114
131,25.5990009308,27.8748188019
132,26.6459999084,28.3555164337
133,27.2889995575,28.4956169128
134,26.4039993286,28.2298049927
135,27.1280002594,28.6947574615
136,28.5769996643,29.4135074615
137,28.4969997406,29.5222835541
138,28.8190002441,29.3630561829
139,28.8990001678,29.2446575165
140,28.9799995422,29.0348701477
141,27.8530006409,28.6448516846
142,27.3700008392,27.8764381409
143,26.5650005341,26.6425094604
144,25.6800003052,25.5204677582
145,24.311000824,24.5929489136
146,23.263999939,23.5876674652
147,23.263999939,22.4186992645
148,21.8159999847,21.0050468445
149,20.4470005035,20.0959625244
150,18.9979991913,20.2976779938
151,20.6879997253,21.1639328003
152,20.6879997253,21.0105552673
153,21.0100002289,21.4391651154
154,20.9300003052,21.2884693146
155,19.8829994202,22.2416820526
156,20.0450000763,22.5715732574
157,19.1590003967,21.4654064178
158,19.3999996185,21.8938770294
159,18.5149993896,21.1701869965
160,19.4810009003,21.5927677155
161,18.9169998169,21.6483192444
162,19.1590003967,21.3645420074
163,18.8369998932,21.5513095856
164,18.3540000916,20.7605342865
165,17.8710002899,21.1836185455
166,18.2740001678,20.2586269379
167,18.8369998932,20.494802475
168,17.3880004883,19.7376918793
169,16.7439994812,19.5260410309
170,17.0659999847,18.8928623199
171,16.986000061,18.4315242767
172,16.6630001068,18.2244663239
173,16.1809997559,17.8145179749
174,16.8239994049,17.8944950104
175,16.3409996033,17.7010822296
176,17.2269992828,17.6542720795
177,16.6630001068,17.6522197723
178,17.7099990845,17.7369632721
179,17.5489997864,18.0827560425
180,18.7569999695,18.4470233917
181,19.2399997711,19.480550766
182,20.0450000763,20.2199630737
183,20.125,21.2023258209
184,20.2859992981,21.8192901611
185,20.6079998016,23.4755020142
186,23.5869998932,26.3340053558
187,26.6459999084,30.424823761
188,27.2889995575,32.4265022278
189,28.658000946,33.3079452515
190,29.1410007477,33.9261016846
191,29.7049999237,34.5413093567
192,30.107000351,34.624130249
193,30.5900001526,34.6412887573
194,30.4290008545,35.206577301
195,31.313999176,35.1884384155
196,32.2000007629,35.5780220032
197,31.7980003357,36.0773506165
198,33.4879989624,36.0862579346
199,33.3269996643,37.0827407837
200,33.1660003662,35.297252655
201,31.5559997559,36.1763534546
202,25.2770004272,28.8883647919
203,22.5400009155,24.8316364288
204,22.6210002899,25.3646335602
205,23.4249992371,26.6550235748
206,23.0230007172,27.2123756409
207,25.1959991455,29.8592433929
208,26.4039993286,31.0079593658
209,28.1749992371,32.2070426941
210,28.658000946,32.2091598511
211,28.2549991608,32.7144927979
212,29.1410007477,32.8877410889
213,28.4169998169,32.3974266052
214,28.5769996643,32.4477729797
215,28.013999939,32.9314994812
216,28.4169998169,33.1058082581
