ID,true_data,pre_data
236,26.4039993286,27.8286571503
237,25.3579998016,27.5243148804
238,24.7129993439,26.9203472137
239,23.827999115,26.129737854
240,22.8619995117,24.4260044098
241,21.8159999847,23.9777832031
242,21.2520008087,23.5395946503
243,20.6079998016,22.7213039398
244,19.8829994202,21.6865081787
245,18.8369998932,20.8795871735
246,17.7910003662,20.6869106293
247,18.2740001678,20.7235565186
248,19.6420001984,20.6183700562
249,19.5620002747,20.5492019653
250,19.1590003967,20.0945453644
251,19.3999996185,19.6260852814
252,18.4340000153,19.0431308746
253,18.4340000153,18.804309845
254,18.5149993896,18.6280574799
255,18.2740001678,18.7859210968
256,17.3880004883,18.4702701569
257,17.1459999084,18.2733440399
258,16.7439994812,18.0100536346
259,16.6630001068,17.7101726532
260,17.0659999847,17.3415870667
261,17.3069992065,16.9774303436
262,18.1119995117,16.6163406372
263,17.4689998627,16.2182235718
264,17.0659999847,15.7869968414
265,16.1809997559,15.3658294678
266,16.422000885,15.0662822723
267,14.8120002747,15.0048732758
268,15.4560003281,15.136598587
269,14.9729995728,15.2185916901
270,15.4560003281,15.2261486053
271,15.1339998245,15.3019733429
272,15.6169996262,15.4163379669
273,15.7779998779,15.7144584656
274,15.6979999542,16.2258930206
275,17.4689998627,17.0451431274
276,18.3540000916,17.73005867
277,20.2049999237,18.6047000885
278,20.6079998016,19.6063957214
279,20.3659992218,20.0759391785
280,20.6879997253,23.6946334839
281,21.3330001831,23.3432044983
282,25.4379997253,25.0997180939
283,29.1410007477,28.17004776
284,29.7849998474,30.6349277496
285,31.8780002594,31.9392185211
286,33.1660003662,32.8595275879
287,32.84400177,33.3343849182
288,32.9239997864,33.6903457642
289,34.7760009766,33.8497619629
290,34.5349998474,34.1358795166
291,36.1450004578,34.5472106934
292,36.3860015869,34.5992279053
293,37.0299987793,34.8122291565
294,37.2709999084,35.6217727661
295,38.1570014954,36.604888916
296,39.4449996948,36.364906311
297,36.6269989014,34.1782684326
298,29.7849998474,28.1581096649
299,26.7259998322,25.2988681793
300,26.7259998322,24.9419765472
301,28.3360004425,25.3200283051
