ID,site,year,month,day,hour,holiday,maxtemp,mintemp,weatherType,load
88,20,2016,3,1,1.25,0,22.0,10.1,1,2.377
89,21,2016,3,1,1.25,0,22.0,10.1,1,2.731
90,0,2016,3,1,1.5,0,22.0,10.1,1,-19.079
91,3,2016,3,1,1.5,0,22.0,10.1,1,0.735
92,4,2016,3,1,1.5,0,22.0,10.1,1,0.188
93,5,2016,3,1,1.5,0,22.0,10.1,1,4.258
94,8,2016,3,1,1.5,0,22.0,10.1,1,-5.081
95,9,2016,3,1,1.5,0,22.0,10.1,1,-7.393
96,10,2016,3,1,1.5,0,22.0,10.1,1,-6.634
97,13,2016,3,1,1.5,0,22.0,10.1,1,2.129
98,14,2016,3,1,1.5,0,22.0,10.1,1,1.109
99,15,2016,3,1,1.5,0,22.0,10.1,1,1.789
100,17,2016,3,1,1.5,0,22.0,10.1,1,0.999
101,18,2016,3,1,1.5,0,22.0,10.1,1,1.407
102,19,2016,3,1,1.5,0,22.0,10.1,1,1.441
103,20,2016,3,1,1.5,0,22.0,10.1,1,2.01
104,21,2016,3,1,1.5,0,22.0,10.1,1,3.047
105,0,2016,3,1,1.75,0,22.0,10.1,1,-19.24
106,3,2016,3,1,1.75,0,22.0,10.1,1,0.735
107,4,2016,3,1,1.75,0,22.0,10.1,1,0.154
108,5,2016,3,1,1.75,0,22.0,10.1,1,4.121
109,8,2016,3,1,1.75,0,22.0,10.1,1,-5.124
110,9,2016,3,1,1.75,0,22.0,10.1,1,-7.43
111,10,2016,3,1,1.75,0,22.0,10.1,1,-6.634
112,13,2016,3,1,1.75,0,22.0,10.1,1,2.205
113,14,2016,3,1,1.75,0,22.0,10.1,1,1.109
114,15,2016,3,1,1.75,0,22.0,10.1,1,1.676
115,17,2016,3,1,1.75,0,22.0,10.1,1,1.049
116,18,2016,3,1,1.75,0,22.0,10.1,1,1.364
117,19,2016,3,1,1.75,0,22.0,10.1,1,1.732
118,20,2016,3,1,1.75,0,22.0,10.1,1,2.213
119,21,2016,3,1,1.75,0,22.0,10.1,1,2.504
120,0,2016,3,1,2.0,0,22.0,10.1,1,-18.998
121,3,2016,3,1,2.0,0,22.0,10.1,1,0.701
122,4,2016,3,1,2.0,0,22.0,10.1,1,0.171
123,5,2016,3,1,2.0,0,22.0,10.1,1,4.104
124,8,2016,3,1,2.0,0,22.0,10.1,1,-4.996
125,9,2016,3,1,2.0,0,22.0,10.1,1,-7.503
126,10,2016,3,1,2.0,0,22.0,10.1,1,-6.78
127,13,2016,3,1,2.0,0,22.0,10.1,1,2.054
128,14,2016,3,1,2.0,0,22.0,10.1,1,1.273
129,15,2016,3,1,2.0,0,22.0,10.1,1,1.802
130,17,2016,3,1,2.0,0,22.0,10.1,1,0.986
131,18,2016,3,1,2.0,0,22.0,10.1,1,1.671
132,19,2016,3,1,2.0,0,22.0,10.1,1,1.618
133,20,2016,3,1,2.0,0,22.0,10.1,1,2.213
134,21,2016,3,1,2.0,0,22.0,10.1,1,3.047
135,0,2016,3,1,2.25,0,22.0,10.1,1,-19.32
136,3,2016,3,1,2.25,0,22.0,10.1,1,0.718
137,4,2016,3,1,2.25,0,22.0,10.1,1,0.222
138,5,2016,3,1,2.25,0,22.0,10.1,1,4.155
139,8,2016,3,1,2.25,0,22.0,10.1,1,-5.081
140,9,2016,3,1,2.25,0,22.0,10.1,1,-7.54
141,10,2016,3,1,2.25,0,22.0,10.1,1,-6.683
142,13,2016,3,1,2.25,0,22.0,10.1,1,1.991
143,14,2016,3,1,2.25,0,22.0,10.1,1,1.436
144,15,2016,3,1,2.25,0,22.0,10.1,1,1.865
145,17,2016,3,1,2.25,0,22.0,10.1,1,1.049
146,18,2016,3,1,2.25,0,22.0,10.1,1,1.567
147,19,2016,3,1,2.25,0,22.0,10.1,1,1.707
148,20,2016,3,1,2.25,0,22.0,10.1,1,1.985
149,21,2016,3,1,2.25,0,22.0,10.1,1,2.364
150,0,2016,3,1,2.5,0,22.0,10.1,1,-18.837
151,3,2016,3,1,2.5,0,22.0,10.1,1,0.718
152,4,2016,3,1,2.5,0,22.0,10.1,1,0.188
153,5,2016,3,1,2.5,0,22.0,10.1,1,4.258
154,8,2016,3,1,2.5,0,22.0,10.1,1,-5.167
155,9,2016,3,1,2.5,0,22.0,10.1,1,-7.137
