ID,site,year,month,day,hour,holiday,maxtemp,mintemp,weatherType,load
65,0.429,0.0,0.0,0.0,0.042,0.0,0.812,0.27,0.0,7.686
66,0.476,0.0,0.0,0.0,0.042,0.0,0.812,0.27,0.0,7.073
67,0.619,0.0,0.0,0.0,0.042,0.0,0.812,0.27,0.0,2.318
68,0.667,0.0,0.0,0.0,0.042,0.0,0.812,0.27,0.0,1.247
69,0.714,0.0,0.0,0.0,0.042,0.0,0.812,0.27,0.0,1.877
70,0.81,0.0,0.0,0.0,0.042,0.0,0.812,0.27,0.0,0.974
71,0.857,0.0,0.0,0.0,0.042,0.0,0.812,0.27,0.0,1.78
72,0.905,0.0,0.0,0.0,0.042,0.0,0.812,0.27,0.0,1.555
73,0.952,0.0,0.0,0.0,0.042,0.0,0.812,0.27,0.0,2.124
74,1.0,0.0,0.0,0.0,0.042,0.0,0.812,0.27,0.0,2.655
75,0.0,0.0,0.0,0.0,0.053,0.0,0.812,0.27,0.0,20.125
76,0.143,0.0,0.0,0.0,0.053,0.0,0.812,0.27,0.0,0.718
77,0.19,0.0,0.0,0.0,0.053,0.0,0.812,0.27,0.0,0.188
78,0.238,0.0,0.0,0.0,0.053,0.0,0.812,0.27,0.0,4.412
79,0.381,0.0,0.0,0.0,0.053,0.0,0.812,0.27,0.0,5.209
80,0.429,0.0,0.0,0.0,0.053,0.0,0.812,0.27,0.0,7.942
81,0.476,0.0,0.0,0.0,0.053,0.0,0.812,0.27,0.0,7.073
82,0.619,0.0,0.0,0.0,0.053,0.0,0.812,0.27,0.0,2.142
83,0.667,0.0,0.0,0.0,0.053,0.0,0.812,0.27,0.0,1.814
84,0.714,0.0,0.0,0.0,0.053,0.0,0.812,0.27,0.0,1.865
85,0.81,0.0,0.0,0.0,0.053,0.0,0.812,0.27,0.0,0.961
86,0.857,0.0,0.0,0.0,0.053,0.0,0.812,0.27,0.0,1.65
87,0.905,0.0,0.0,0.0,0.053,0.0,0.812,0.27,0.0,1.745
88,0.952,0.0,0.0,0.0,0.053,0.0,0.812,0.27,0.0,2.377
89,1.0,0.0,0.0,0.0,0.053,0.0,0.812,0.27,0.0,2.731
90,0.0,0.0,0.0,0.0,0.063,0.0,0.812,0.27,0.0,19.079
91,0.143,0.0,0.0,0.0,0.063,0.0,0.812,0.27,0.0,0.735
92,0.19,0.0,0.0,0.0,0.063,0.0,0.812,0.27,0.0,0.188
93,0.238,0.0,0.0,0.0,0.063,0.0,0.812,0.27,0.0,4.258
94,0.381,0.0,0.0,0.0,0.063,0.0,0.812,0.27,0.0,5.081
95,0.429,0.0,0.0,0.0,0.063,0.0,0.812,0.27,0.0,7.393
96,0.476,0.0,0.0,0.0,0.063,0.0,0.812,0.27,0.0,6.634
97,0.619,0.0,0.0,0.0,0.063,0.0,0.812,0.27,0.0,2.129
98,0.667,0.0,0.0,0.0,0.063,0.0,0.812,0.27,0.0,1.109
99,0.714,0.0,0.0,0.0,0.063,0.0,0.812,0.27,0.0,1.789
100,0.81,0.0,0.0,0.0,0.063,0.0,0.812,0.27,0.0,0.999
101,0.857,0.0,0.0,0.0,0.063,0.0,0.812,0.27,0.0,1.407
102,0.905,0.0,0.0,0.0,0.063,0.0,0.812,0.27,0.0,1.441
103,0.952,0.0,0.0,0.0,0.063,0.0,0.812,0.27,0.0,2.01
104,1.0,0.0,0.0,0.0,0.063,0.0,0.812,0.27,0.0,3.047
105,0.0,0.0,0.0,0.0,0.074,0.0,0.812,0.27,0.0,19.24
106,0.143,0.0,0.0,0.0,0.074,0.0,0.812,0.27,0.0,0.735
107,0.19,0.0,0.0,0.0,0.074,0.0,0.812,0.27,0.0,0.154
108,0.238,0.0,0.0,0.0,0.074,0.0,0.812,0.27,0.0,4.121
109,0.381,0.0,0.0,0.0,0.074,0.0,0.812,0.27,0.0,5.124
110,0.429,0.0,0.0,0.0,0.074,0.0,0.812,0.27,0.0,7.43
111,0.476,0.0,0.0,0.0,0.074,0.0,0.812,0.27,0.0,6.634
112,0.619,0.0,0.0,0.0,0.074,0.0,0.812,0.27,0.0,2.205
113,0.667,0.0,0.0,0.0,0.074,0.0,0.812,0.27,0.0,1.109
114,0.714,0.0,0.0,0.0,0.074,0.0,0.812,0.27,0.0,1.676
115,0.81,0.0,0.0,0.0,0.074,0.0,0.812,0.27,0.0,1.049
116,0.857,0.0,0.0,0.0,0.074,0.0,0.812,0.27,0.0,1.364
117,0.905,0.0,0.0,0.0,0.074,0.0,0.812,0.27,0.0,1.732
118,0.952,0.0,0.0,0.0,0.074,0.0,0.812,0.27,0.0,2.213
119,1.0,0.0,0.0,0.0,0.074,0.0,0.812,0.27,0.0,2.504
120,0.0,0.0,0.0,0.0,0.084,0.0,0.812,0.27,0.0,18.998
121,0.143,0.0,0.0,0.0,0.084,0.0,0.812,0.27,0.0,0.701
122,0.19,0.0,0.0,0.0,0.084,0.0,0.812,0.27,0.0,0.171
123,0.238,0.0,0.0,0.0,0.084,0.0,0.812,0.27,0.0,4.104
