ID,hour,holiday,maxtemp,mintemp,load
139,0.453,0,0.754,0.67,34.856
140,0.463,0,0.754,0.67,35.5
141,0.474,0,0.754,0.67,35.742
142,0.484,0,0.754,0.67,36.386
143,0.495,0,0.754,0.67,35.017
144,0.505,0,0.754,0.67,27.853
145,0.516,0,0.754,0.67,25.518
146,0.526,0,0.754,0.67,25.599
147,0.537,0,0.754,0.67,26.565
148,0.547,0,0.754,0.67,26.806
149,0.558,0,0.754,0.67,29.06
150,0.568,0,0.754,0.67,29.946
151,0.579,0,0.754,0.67,30.912
152,0.589,0,0.754,0.67,33.005
153,0.6,0,0.754,0.67,32.844
154,0.611,0,0.754,0.67,31.717
155,0.621,0,0.754,0.67,30.912
156,0.632,0,0.754,0.67,31.234
157,0.642,0,0.754,0.67,31.153
158,0.653,0,0.754,0.67,30.993
159,0.663,0,0.754,0.67,30.51
160,0.674,0,0.754,0.67,30.59
161,0.684,0,0.754,0.67,30.831
162,0.695,0,0.754,0.67,31.556
163,0.705,0,0.754,0.67,31.958
164,0.716,0,0.754,0.67,30.51
165,0.726,0,0.754,0.67,31.314
166,0.737,0,0.754,0.67,30.831
167,0.747,0,0.754,0.67,30.59
168,0.758,0,0.754,0.67,28.497
169,0.768,0,0.754,0.67,27.128
170,0.779,0,0.754,0.67,27.853
171,0.789,0,0.754,0.67,27.772
172,0.8,0,0.754,0.67,28.014
173,0.811,0,0.754,0.67,28.658
174,0.821,0,0.754,0.67,29.705
175,0.832,0,0.754,0.67,30.107
176,0.842,0,0.754,0.67,29.785
177,0.853,0,0.754,0.67,29.946
178,0.863,0,0.754,0.67,30.107
179,0.874,0,0.754,0.67,29.785
180,0.884,0,0.754,0.67,28.98
181,0.895,0,0.754,0.67,28.175
182,0.905,0,0.754,0.67,27.048
183,0.916,0,0.754,0.67,26.484
184,0.926,0,0.754,0.67,25.277
185,0.937,0,0.754,0.67,24.23
186,0.947,0,0.754,0.67,21.413
187,0.958,0,0.754,0.67,21.333
188,0.968,0,0.754,0.67,21.976
189,0.979,0,0.754,0.67,21.252
190,0.989,0,0.754,0.67,21.171
191,1,0,0.754,0.67,21.01
192,0,0,0.899,0.17,21.816
193,0.011,0,0.899,0.17,21.413
194,0.021,0,0.899,0.17,20.528
195,0.032,0,0.899,0.17,19.32
196,0.042,0,0.899,0.17,20.447
197,0.053,0,0.899,0.17,20.608
198,0.063,0,0.899,0.17,20.608
199,0.074,0,0.899,0.17,20.447
200,0.084,0,0.899,0.17,20.528
201,0.095,0,0.899,0.17,20.769
202,0.105,0,0.899,0.17,19.159
203,0.116,0,0.899,0.17,18.193
204,0.126,0,0.899,0.17,20.045
205,0.137,0,0.899,0.17,19.883
206,0.147,0,0.899,0.17,19.24
207,0.158,0,0.899,0.17,19.32
208,0.168,0,0.899,0.17,18.998
209,0.179,0,0.899,0.17,19.4
210,0.189,0,0.899,0.17,17.951
211,0.2,0,0.899,0.17,19.159
212,0.211,0,0.899,0.17,18.274
213,0.221,0,0.899,0.17,18.274
214,0.232,0,0.899,0.17,18.274
215,0.242,0,0.899,0.17,18.676
216,0.253,0,0.899,0.17,18.515
217,0.263,0,0.899,0.17,19.32
218,0.274,0,0.899,0.17,19.562
219,0.284,0,0.899,0.17,20.608
220,0.295,0,0.899,0.17,21.252
221,0.305,0,0.899,0.17,22.379
222,0.316,0,0.899,0.17,23.506
223,0.326,0,0.899,0.17,25.358
224,0.337,0,0.899,0.17,27.934
225,0.347,0,0.899,0.17,31.476
226,0.358,0,0.899,0.17,33.649
227,0.368,0,0.899,0.17,35.5
228,0.379,0,0.899,0.17,35.259
229,0.389,0,0.899,0.17,34.937
230,0.4,0,0.899,0.17,35.098
231,0.411,0,0.899,0.17,34.132
232,0.421,0,0.899,0.17,33.971
233,0.432,0,0.899,0.17,35.5
234,0.442,0,0.899,0.17,36.708
235,0.453,0,0.899,0.17,36.788
236,0.463,0,0.899,0.17,37.271
237,0.474,0,0.899,0.17,37.674
238,0.484,0,0.899,0.17,37.755
239,0.495,0,0.899,0.17,35.34
240,0.505,0,0.899,0.17,28.577
241,0.516,0,0.899,0.17,25.76
242,0.526,0,0.899,0.17,26.243
243,0.537,0,0.899,0.17,26.646
244,0.547,0,0.899,0.17,26.806
245,0.558,0,0.899,0.17,28.98
246,0.568,0,0.899,0.17,29.463
247,0.579,0,0.899,0.17,30.831
248,0.589,0,0.899,0.17,30.751
249,0.6,0,0.899,0.17,31.958
250,0.611,0,0.899,0.17,31.958
251,0.621,0,0.899,0.17,31.234
252,0.632,0,0.899,0.17,31.476
253,0.642,0,0.899,0.17,31.153
254,0.653,0,0.899,0.17,31.717
255,0.663,0,0.899,0.17,31.878
256,0.674,0,0.899,0.17,31.878
257,0.684,0,0.899,0.17,31.878
258,0.695,0,0.899,0.17,33.327
259,0.705,0,0.899,0.17,33.327
260,0.716,0,0.899,0.17,33.166
261,0.726,0,0.899,0.17,32.924
262,0.737,0,0.899,0.17,32.28
263,0.747,0,0.899,0.17,31.234
264,0.758,0,0.899,0.17,29.624
265,0.768,0,0.899,0.17,28.336
266,0.779,0,0.899,0.17,28.577
267,0.789,0,0.899,0.17,28.094
268,0.8,0,0.899,0.17,28.577
269,0.811,0,0.899,0.17,29.463
270,0.821,0,0.899,0.17,29.865
271,0.832,0,0.899,0.17,30.993
272,0.842,0,0.899,0.17,31.636
273,0.853,0,0.899,0.17,30.912
274,0.863,0,0.899,0.17,30.59
275,0.874,0,0.899,0.17,30.188
276,0.884,0,0.899,0.17,29.222
277,0.895,0,0.899,0.17,28.497
278,0.905,0,0.899,0.17,27.692
279,0.916,0,0.899,0.17,26.806
280,0.926,0,0.899,0.17,25.76
281,0.937,0,0.899,0.17,24.392
282,0.947,0,0.899,0.17,23.023
283,0.958,0,0.899,0.17,21.735
284,0.968,0,0.899,0.17,21.735
285,0.979,0,0.899,0.17,22.54
286,0.989,0,0.899,0.17,22.137
287,1,0,0.899,0.17,23.023
288,0,0,0.775,0.58,22.862
289,0.011,0,0.775,0.58,23.909
290,0.021,0,0.775,0.58,21.333
291,0.032,0,0.775,0.58,22.057
292,0.042,0,0.775,0.58,21.976
293,0.053,0,0.775,0.58,20.93
294,0.063,0,0.775,0.58,21.091
295,0.074,0,0.775,0.58,20.769
296,0.084,0,0.775,0.58,20.85
297,0.095,0,0.775,0.58,20.85
298,0.105,0,0.775,0.58,20.286
299,0.116,0,0.775,0.58,20.688
300,0.126,0,0.775,0.58,19.642
301,0.137,0,0.775,0.58,19.481
302,0.147,0,0.775,0.58,18.998
303,0.158,0,0.775,0.58,19.079
304,0.168,0,0.775,0.58,18.595
305,0.179,0,0.775,0.58,18.193
306,0.189,0,0.775,0.58,18.274
